region,year,employment_rate,budget_million,population
North,2021,92.3,12.5,50000
South,2021,88.7,15.2,62000
East,2021,91.2,9.8,48000
West,2021,85.4,11.1,53000
Central,2021,90.1,14.0,59000
North,2022,92.8,13.0,50225
South,2022,89.3,,62600
East,2022,91.6,10.3,48450
West,2022,86.1,11.6,53500
Central,2022,90.7,14.5,59500
north ,2023,93.3,13.5,50450
South,2023,90.0,16.2,63200
East,2023,92.0,10.7,48900
West,2023,86.8,12.1,54000
Central,2023,91.3,15.0,60000
North,2024,93.9,14.0,50675
South,2024,90.6,16.6,63800
East,2024,92.4,11.2,49350
West,2024,87.4,12.6,54500
Central,2024,91.9,15.5,60500
North,2025,94.4,14.5,50900
South,2025,91.3,17.1,64400
East,2025,92.8,11.7,49800
West,2025,88.1,13.1,55000
Central,2025,92.5,16.0,61000
North,2026,94.9,,51125
South,2026,91.9,17.6,65000
East,2026,93.2,12.2,50250
West,2026,88.8,13.6,55500
Central,2026,93.1,16.5,61500
North,2027,95.4,15.5,51350
South,2027,92.5,18.1,65600
East,2027,93.6,12.6,50700
West,2027,89.5,14.0,56000
Central,2027,93.7,17.0,62000
North,2028,95.9,16.0,51575
South,2028,93.2,18.6,66200
East,2028,94.0,13.1,51150
West,2028,90.2,14.5,56500
Central,2028,94.3,17.5,62500
North,2029,96.5,16.5,51800
South,2029,93.8,19.0,66800
East,2029,94.4,13.6,51600
West,2029,90.8,15.0,57000
Central,2029,94.9,18.0,63000
North,2030,97.0,17.0,52025
South,2030,94.5,19.5,67400
East,2030,94.8,14.0,52050
West,2030,91.5,15.5,57500
Central,2030,95.5,18.5,63500
North,2021,92.3,12.5,50000
